Instance 2DU60-05-1 1	 objective 5305.57	 and values (0.00,0.00,5305.57)
Instance 2DU60-05-2 4	 objective 5451.68	 and values (0.00,0.00,5451.68)
Instance 2DU60-05-3 1	 objective 5507.88	 and values (0.00,0.00,5507.88)
Instance 2DU60-05-4 1	 objective 5935.67	 and values (0.00,0.00,5935.67)
Instance 2DU60-05-5 1	 objective 5303.20	 and values (0.00,0.00,5303.20)
Instance 2DU60-05-6 1	 objective 5253.94	 and values (0.00,0.00,5253.94)
Instance 2DU60-05-7 2	 objective 5460.18	 and values (0.00,0.00,5460.18)
Instance 2DU60-05-8 1	 objective 5309.96	 and values (0.00,0.00,5309.96)
Instance 2DU60-05-9 1	 objective 5224.52	 and values (0.00,0.00,5224.52)
Instance 2DU60-05-10 1	 objective 5350.16	 and values (0.00,0.00,5350.16)
Instance 2DU60-05-11 1	 objective 5150.91	 and values (0.00,0.00,5150.91)
Instance 2DU60-05-12 1	 objective 5607.90	 and values (0.00,0.00,5607.90)
Instance 2DU60-05-13 6	 objective 5731.98	 and values (0.00,0.00,5731.98)
Instance 2DU60-05-14 1	 objective 5462.96	 and values (0.00,0.00,5462.96)
Instance 2DU60-05-15 1	 objective 5332.77	 and values (0.00,0.00,5332.77)
Instance 2DU60-05-16 1	 objective 5399.54	 and values (0.00,0.00,5399.54)
Instance 2DU60-05-17 1	 objective 5602.85	 and values (0.00,0.00,5602.85)
Instance 2DU60-05-18 1	 objective 5773.96	 and values (0.00,0.00,5773.96)
Instance 2DU60-05-19 1	 objective 5543.44	 and values (0.00,0.00,5543.44)
Instance 2DU60-05-20 1	 objective 5767.54	 and values (0.00,0.00,5767.54)
Instance 2DU80-05-1 1	 objective 6625.39	 and values (0.00,0.00,6625.39)
Instance 2DU80-05-2 1	 objective 6807.06	 and values (0.00,0.00,6807.06)
Instance 2DU80-05-3 1	 objective 6986.26	 and values (0.00,0.00,6986.26)
Instance 2DU80-05-4 1	 objective 7117.16	 and values (0.00,0.00,7117.16)
Instance 2DU80-05-5 1	 objective 5592.42	 and values (0.00,0.00,5592.42)
Instance 2DU80-05-6 1	 objective 6554.55	 and values (0.00,0.00,6554.55)
Instance 2DU80-05-7 1	 objective 6455.98	 and values (0.00,0.00,6455.98)
Instance 2DU80-05-8 1	 objective 6680.28	 and values (0.00,0.00,6680.28)
Instance 2DU80-05-9 1	 objective 6757.99	 and values (0.00,0.00,6757.99)
Instance 2DU80-05-10 1	 objective 5883.06	 and values (0.00,0.00,5883.06)
Instance 2DU80-05-11 1	 objective 6545.15	 and values (0.00,0.00,6545.15)
Instance 2DU80-05-12 1	 objective 6747.05	 and values (0.00,0.00,6747.05)
Instance 2DU80-05-13 1	 objective 6611.62	 and values (0.00,0.00,6611.62)
Instance 2DU80-05-14 1	 objective 6638.04	 and values (0.00,0.00,6638.04)
Instance 2DU80-05-15 1	 objective 7004.90	 and values (0.00,0.00,7004.90)
Instance 2DU80-05-16 1	 objective 6409.64	 and values (0.00,0.00,6409.64)
Instance 2DU80-05-17 1	 objective 6766.02	 and values (0.00,0.00,6766.02)
Instance 2DU80-05-18 1	 objective 6926.38	 and values (0.00,0.00,6926.38)
Instance 2DU80-05-19 1	 objective 6760.91	 and values (0.00,0.00,6760.91)
Instance 2DU80-05-20 1	 objective 7029.96	 and values (0.00,0.00,7029.96)
Instance 2DU100-05-1 1	 objective 7500.09	 and values (0.00,0.00,7500.09)
Instance 2DU100-05-2 1	 objective 7536.67	 and values (0.00,0.00,7536.67)
Instance 2DU100-05-3 1	 objective 7533.77	 and values (0.00,0.00,7533.77)
Instance 2DU100-05-4 1	 objective 7601.37	 and values (0.00,0.00,7601.37)
Instance 2DU100-05-5 1	 objective 7644.96	 and values (0.00,0.00,7644.96)
Instance 2DU100-05-6 1	 objective 7297.73	 and values (0.00,0.00,7297.73)
Instance 2DU100-05-7 1	 objective 7511.29	 and values (0.00,0.00,7511.29)
Instance 2DU100-05-8 1	 objective 7122.64	 and values (0.00,0.00,7122.64)
Instance 2DU100-05-9 1	 objective 7220.85	 and values (0.00,0.00,7220.85)
Instance 2DU100-05-10 1	 objective 7549.17	 and values (0.00,0.00,7549.17)
Instance 2DU100-05-11 1	 objective 6853.15	 and values (0.00,0.00,6853.15)
Instance 2DU100-05-12 1	 objective 7483.44	 and values (0.00,0.00,7483.44)
Instance 2DU100-05-13 1	 objective 7061.61	 and values (0.00,0.00,7061.61)
Instance 2DU100-05-14 1	 objective 8037.01	 and values (0.00,0.00,8037.01)
Instance 2DU100-05-15 1	 objective 7272.96	 and values (0.00,0.00,7272.96)
Instance 2DU100-05-16 1	 objective 7717.35	 and values (0.00,0.00,7717.35)
Instance 2DU100-05-17 1	 objective 6920.96	 and values (0.00,0.00,6920.96)
Instance 2DU100-05-18 1	 objective 7484.73	 and values (0.00,0.00,7484.73)
Instance 2DU100-05-19 1	 objective 7312.95	 and values (0.00,0.00,7312.95)
Instance 2DU100-05-20 1	 objective 7668.69	 and values (0.00,0.00,7668.69)
Instance 2DU120-05-1 1	 objective 7813.82	 and values (0.00,0.00,7813.82)
Instance 2DU120-05-2 1	 objective 8582.20	 and values (0.00,0.00,8582.20)
Instance 2DU120-05-3 1	 objective 8513.98	 and values (0.00,0.00,8513.98)
Instance 2DU120-05-4 1	 objective 8735.56	 and values (0.00,0.00,8735.56)
