Instance planar500_G0	 objective 5963.01	 and values (0.00,0.00,5963.01)
Instance planar500_G1	 objective 5959.22	 and values (0.00,0.00,5959.22)
Instance planar500_G2	 objective 5861.69	 and values (0.00,0.00,5861.69)
Instance planar500_G3	 objective 5717.70	 and values (0.00,0.00,5717.70)
Instance planar500_G4	 objective 5971.43	 and values (0.00,0.00,5971.43)
Instance planar500_G5	 objective 5935.94	 and values (0.00,0.00,5935.94)
Instance planar500_G6	 objective 5919.99	 and values (0.00,0.00,5919.99)
Instance planar500_G7	 objective 5756.93	 and values (0.00,0.00,5756.93)
Instance planar500_G8	 objective 5908.35	 and values (0.00,0.00,5908.35)
Instance planar500_G9	 objective 5838.49	 and values (0.00,0.00,5838.49)
Instance planar600_G0	 objective 7182.75	 and values (0.00,0.00,7182.75)
Instance planar600_G1	 objective 7116.39	 and values (0.00,0.00,7116.39)
Instance planar600_G2	 objective 6987.86	 and values (0.00,0.00,6987.86)
Instance planar600_G3	 objective 7084.58	 and values (0.00,0.00,7084.58)
Instance planar600_G4	 objective 7099.42	 and values (0.00,0.00,7099.42)
Instance planar600_G5	 objective 7073.05	 and values (0.00,0.00,7073.05)
Instance planar600_G6	 objective 7045.97	 and values (0.00,0.00,7045.97)
Instance planar600_G7	 objective 7183.06	 and values (0.00,0.00,7183.06)
Instance planar600_G8	 objective 6959.56	 and values (0.00,0.00,6959.56)
Instance planar600_G9	 objective 7104.82	 and values (0.00,0.00,7104.82)
Instance planar700_G0	 objective 8544.46	 and values (0.00,0.00,8544.46)
Instance planar700_G1	 objective 8315.59	 and values (0.00,0.00,8315.59)
Instance planar700_G2	 objective 8243.36	 and values (0.00,0.00,8243.36)
Instance planar700_G3	 objective 8356.32	 and values (0.00,0.00,8356.32)
Instance planar700_G4	 objective 8168.92	 and values (0.00,0.00,8168.92)
Instance planar700_G5	 objective 8247.64	 and values (0.00,0.00,8247.64)
Instance planar700_G6	 objective 8417.38	 and values (0.00,0.00,8417.38)
Instance planar700_G7	 objective 8406.55	 and values (0.00,0.00,8406.55)
Instance planar700_G8	 objective 8401.34	 and values (0.00,0.00,8401.34)
Instance planar700_G9	 objective 8342.67	 and values (0.00,0.00,8342.67)
