Instance R1-DU233-P33-T0.1-0	 objective 21041367.75	 and values (20472.37,372.00,383002.30)
Instance R1-DU233-P33-T0.1-1	 objective 21505825.85	 and values (20898.07,420.00,397760.40)
Instance R1-DU233-P33-T0.1-2	 objective 29162226.01	 and values (28424.44,430.00,522784.80)
Instance R1-DU233-P33-T0.1-3	 objective 26234400.02	 and values (25608.48,401.00,425418.20)
Instance R1-DU233-P33-T0.05-0	 objective 30138100.83	 and values (29557.00,392.00,385097.80)
Instance R1-DU233-P33-T0.05-1	 objective 36867476.98	 and values (36197.88,407.00,466098.80)
Instance R1-DU233-P33-T0.05-2	 objective 42122564.86	 and values (41525.79,394.00,399778.50)
Instance R1-DU233-P33-T0.05-3	 objective 38084534.77	 and values (37486.33,374.00,411208.10)
Instance R2-DU175-P67-T0.1-0	 objective 87724152.17	 and values (87457.44,313.00,110215.90)
Instance R2-DU175-P67-T0.1-1	 objective 94312139.94	 and values (94055.71,308.00,102428.30)
Instance R2-DU175-P67-T0.1-2	 objective 83221463.21	 and values (82952.34,326.00,106125.60)
Instance R2-DU175-P67-T0.1-3	 objective 90213916.32	 and values (89951.46,317.00,103959.90)
Instance R2-DU175-P67-T0.05-0	 objective 107831379.40	 and values (107569.99,316.00,103388.80)
Instance R2-DU175-P67-T0.05-1	 objective 113077772.99	 and values (112821.66,308.00,102115.90)
Instance R2-DU175-P67-T0.05-2	 objective 108764198.92	 and values (108498.75,322.00,104453.70)
Instance R2-DU175-P67-T0.05-3	 objective 111205734.62	 and values (110945.21,317.00,102019.70)
