Iteration 0: BestViol=24860.4120 BestAff=0 BestCompact=26668.59 CurScore=248630788.5858 BestScore=248630788.5858 Temp=12431539.43 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=7211.2510 BestAff=0 BestCompact=33134.58 CurScore=72145644.5823 BestScore=72145644.5823 Temp=82719.07 NoImprove=15 Restarts=0 Time=2.21s
Iteration 2000: BestViol=5622.4330 BestAff=0 BestCompact=34203.73 CurScore=56258533.7290 BestScore=56258533.7290 Temp=550.41 NoImprove=100 Restarts=0 Time=4.63s
Iteration 3000: BestViol=5284.0310 BestAff=0 BestCompact=31125.87 CurScore=52871435.8714 BestScore=52871435.8714 Temp=544666.24 NoImprove=50 Restarts=1 Time=7.08s
Iteration 4000: BestViol=4772.5380 BestAff=0 BestCompact=31786.00 CurScore=47757165.9991 BestScore=47757165.9991 Temp=3624.19 NoImprove=140 Restarts=1 Time=9.59s
Iteration 5000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=46806926.3747 BestScore=46806926.3747 Temp=24.12 NoImprove=316 Restarts=1 Time=11.97s
Iteration 6000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=79952880.1962 BestScore=46806926.3747 Temp=2317138.11 NoImprove=314 Restarts=3 Time=14.43s
Iteration 7000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=92250212.8913 BestScore=46806926.3747 Temp=2603894.03 NoImprove=312 Restarts=5 Time=16.91s
Iteration 8000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=99520987.9030 BestScore=46806926.3747 Temp=2267909.85 NoImprove=310 Restarts=7 Time=19.26s
Iteration 9000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=102061251.5875 BestScore=46806926.3747 Temp=2134366.69 NoImprove=308 Restarts=9 Time=21.95s
Iteration 10000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=85445144.5350 BestScore=46806926.3747 Temp=2197897.88 NoImprove=306 Restarts=11 Time=24.40s
Iteration 11000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=73847717.4980 BestScore=46806926.3747 Temp=2650505.81 NoImprove=304 Restarts=13 Time=26.89s
Iteration 12000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=71027641.4652 BestScore=46806926.3747 Temp=2242825.30 NoImprove=302 Restarts=15 Time=29.34s
Iteration 13000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=81255373.8518 BestScore=46806926.3747 Temp=2561863.92 NoImprove=300 Restarts=17 Time=31.77s
Iteration 14000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=77931731.5379 BestScore=46806926.3747 Temp=1884932.18 NoImprove=298 Restarts=19 Time=34.19s
Iteration 15000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=76316775.5084 BestScore=46806926.3747 Temp=2551357.45 NoImprove=296 Restarts=21 Time=36.57s
Iteration 16000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=110320417.4434 BestScore=46806926.3747 Temp=2386757.84 NoImprove=294 Restarts=23 Time=39.07s
Iteration 17000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=96074267.6084 BestScore=46806926.3747 Temp=2591245.64 NoImprove=292 Restarts=25 Time=41.56s
Iteration 18000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=118240440.5771 BestScore=46806926.3747 Temp=3111926.87 NoImprove=290 Restarts=27 Time=43.97s
Iteration 19000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=116575794.3194 BestScore=46806926.3747 Temp=2995980.74 NoImprove=288 Restarts=29 Time=46.44s
Iteration 20000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=110628670.5099 BestScore=46806926.3747 Temp=2998850.34 NoImprove=286 Restarts=31 Time=48.79s
Iteration 21000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=100471341.9814 BestScore=46806926.3747 Temp=3167767.47 NoImprove=284 Restarts=33 Time=51.24s
Iteration 22000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=138422127.0236 BestScore=46806926.3747 Temp=3399146.48 NoImprove=282 Restarts=35 Time=53.60s
Iteration 23000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=101626378.3142 BestScore=46806926.3747 Temp=3298069.91 NoImprove=280 Restarts=37 Time=56.01s
Iteration 24000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=67131533.4795 BestScore=46806926.3747 Temp=2597258.31 NoImprove=278 Restarts=39 Time=58.45s
Iteration 25000: BestViol=4677.5140 BestAff=0 BestCompact=31786.37 CurScore=104405114.2102 BestScore=46806926.3747 Temp=3078836.93 NoImprove=276 Restarts=41 Time=60.89s
