Iteration 0: BestViol=51042.0000 BestAff=3828 BestCompact=116973.67 CurScore=531590973.6732 BestScore=531590973.6732 Temp=26579548.68 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=3322.7890 BestAff=3750 BestCompact=132274.04 CurScore=54059628.8587 BestScore=53985164.0409 Temp=176859.48 NoImprove=146 Restarts=0 Time=24.83s
Iteration 2000: BestViol=2436.2950 BestAff=3743 BestCompact=131167.75 CurScore=45080617.7476 BestScore=45080617.7476 Temp=1176.82 NoImprove=21 Restarts=0 Time=53.38s
Iteration 3000: BestViol=2181.7170 BestAff=3741 BestCompact=131237.89 CurScore=42523907.8901 BestScore=42523907.8901 Temp=7.83 NoImprove=39 Restarts=0 Time=76.76s
Iteration 4000: BestViol=2181.7170 BestAff=3741 BestCompact=131237.89 CurScore=406670048.6955 BestScore=42523907.8901 Temp=24841566.46 NoImprove=37 Restarts=2 Time=94.17s
Iteration 5000: BestViol=2181.7170 BestAff=3741 BestCompact=131237.89 CurScore=399683793.4466 BestScore=42523907.8901 Temp=27517467.71 NoImprove=35 Restarts=4 Time=124.21s
Iteration 6000: BestViol=2181.7170 BestAff=3741 BestCompact=131237.89 CurScore=328088547.6153 BestScore=42523907.8901 Temp=27308112.58 NoImprove=33 Restarts=6 Time=156.82s
Iteration 7000: BestViol=2181.7170 BestAff=3741 BestCompact=131237.89 CurScore=560821105.5945 BestScore=42523907.8901 Temp=31219915.52 NoImprove=31 Restarts=8 Time=187.77s
Iteration 8000: BestViol=2181.7170 BestAff=3741 BestCompact=131237.89 CurScore=337034598.4940 BestScore=42523907.8901 Temp=26314674.75 NoImprove=29 Restarts=10 Time=218.92s
Iteration 9000: BestViol=2181.7170 BestAff=3741 BestCompact=131237.89 CurScore=555264129.2592 BestScore=42523907.8901 Temp=38088947.59 NoImprove=27 Restarts=12 Time=249.86s
Iteration 10000: BestViol=2181.7170 BestAff=3741 BestCompact=131237.89 CurScore=766712095.7740 BestScore=42523907.8901 Temp=44362311.03 NoImprove=25 Restarts=14 Time=280.12s
Iteration 11000: BestViol=2181.7170 BestAff=3741 BestCompact=131237.89 CurScore=494768573.0738 BestScore=42523907.8901 Temp=34014963.22 NoImprove=23 Restarts=16 Time=310.23s
Iteration 12000: BestViol=2181.7170 BestAff=3741 BestCompact=131237.89 CurScore=457672474.3041 BestScore=42523907.8901 Temp=28328295.18 NoImprove=21 Restarts=18 Time=339.38s
Iteration 13000: BestViol=2181.7170 BestAff=3741 BestCompact=131237.89 CurScore=440500668.5689 BestScore=42523907.8901 Temp=26664099.53 NoImprove=19 Restarts=20 Time=369.12s
Iteration 14000: BestViol=2181.7170 BestAff=3741 BestCompact=131237.89 CurScore=428256465.4688 BestScore=42523907.8901 Temp=25914206.41 NoImprove=17 Restarts=22 Time=399.50s
Iteration 15000: BestViol=2181.7170 BestAff=3741 BestCompact=131237.89 CurScore=362575461.1281 BestScore=42523907.8901 Temp=26230055.45 NoImprove=15 Restarts=24 Time=430.91s
Iteration 16000: BestViol=2181.7170 BestAff=3741 BestCompact=131237.89 CurScore=632883992.6920 BestScore=42523907.8901 Temp=37001447.03 NoImprove=13 Restarts=26 Time=459.52s
Iteration 17000: BestViol=1869.9410 BestAff=3894 BestCompact=122020.80 CurScore=44775895.9115 BestScore=40238430.7970 Temp=1885040.35 NoImprove=122 Restarts=27 Time=491.79s
Iteration 18000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=39267686.5337 BestScore=39257752.2021 Temp=12543.00 NoImprove=42 Restarts=27 Time=525.27s
Iteration 19000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=473526263.3482 BestScore=39257752.2021 Temp=32871000.78 NoImprove=40 Restarts=29 Time=550.83s
Iteration 20000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=321519442.7031 BestScore=39257752.2021 Temp=24203138.25 NoImprove=38 Restarts=31 Time=581.93s
Iteration 21000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=487454758.1143 BestScore=39257752.2021 Temp=33243899.87 NoImprove=36 Restarts=33 Time=613.97s
Iteration 22000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=421408299.3292 BestScore=39257752.2021 Temp=32142319.41 NoImprove=34 Restarts=35 Time=644.58s
Iteration 23000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=628784275.6559 BestScore=39257752.2021 Temp=37294140.04 NoImprove=32 Restarts=37 Time=676.33s
Iteration 24000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=263751162.9933 BestScore=39257752.2021 Temp=21573417.58 NoImprove=30 Restarts=39 Time=706.49s
Iteration 25000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=661909245.7207 BestScore=39257752.2021 Temp=37403425.02 NoImprove=28 Restarts=41 Time=736.73s
Iteration 26000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=329493661.8312 BestScore=39257752.2021 Temp=21257074.85 NoImprove=26 Restarts=43 Time=770.77s
Iteration 27000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=601308245.7281 BestScore=39257752.2021 Temp=38773713.64 NoImprove=24 Restarts=45 Time=803.63s
Iteration 28000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=612135289.5232 BestScore=39257752.2021 Temp=34924615.59 NoImprove=22 Restarts=47 Time=835.72s
Iteration 29000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=772268731.5985 BestScore=39257752.2021 Temp=41782803.79 NoImprove=20 Restarts=49 Time=868.30s
Iteration 30000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=735590569.8047 BestScore=39257752.2021 Temp=43046319.60 NoImprove=18 Restarts=51 Time=900.88s
Iteration 31000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=521220121.1064 BestScore=39257752.2021 Temp=29060814.96 NoImprove=16 Restarts=53 Time=933.18s
Iteration 32000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=725937480.5700 BestScore=39257752.2021 Temp=40555823.14 NoImprove=14 Restarts=55 Time=964.82s
Iteration 33000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=646147156.8072 BestScore=39257752.2021 Temp=35692273.76 NoImprove=12 Restarts=57 Time=996.09s
Iteration 34000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=344592965.3159 BestScore=39257752.2021 Temp=24298360.42 NoImprove=10 Restarts=59 Time=1026.34s
Iteration 35000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=571582319.7424 BestScore=39257752.2021 Temp=31486594.03 NoImprove=8 Restarts=61 Time=1060.84s
Iteration 36000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=631211840.0302 BestScore=39257752.2021 Temp=35293406.46 NoImprove=6 Restarts=63 Time=1095.20s
Iteration 37000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=464447525.9518 BestScore=39257752.2021 Temp=25553231.35 NoImprove=4 Restarts=65 Time=1129.32s
Iteration 38000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=730256260.0560 BestScore=39257752.2021 Temp=37084965.74 NoImprove=2 Restarts=67 Time=1162.36s
Iteration 39000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=708855732.7157 BestScore=39257752.2021 Temp=35442786.64 NoImprove=0 Restarts=69 Time=1195.24s
Iteration 40000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=78863642.3749 BestScore=39257752.2021 Temp=2489354.87 NoImprove=499 Restarts=70 Time=1227.63s
Iteration 41000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=93916323.5286 BestScore=39257752.2021 Temp=2970200.62 NoImprove=497 Restarts=72 Time=1261.67s
Iteration 42000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=84580151.2338 BestScore=39257752.2021 Temp=2005546.20 NoImprove=495 Restarts=74 Time=1296.45s
Iteration 43000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=70282963.4326 BestScore=39257752.2021 Temp=2083681.66 NoImprove=493 Restarts=76 Time=1330.17s
Iteration 44000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=74396005.8482 BestScore=39257752.2021 Temp=3691505.05 NoImprove=491 Restarts=78 Time=1363.15s
Iteration 45000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=78019616.7491 BestScore=39257752.2021 Temp=2838289.07 NoImprove=489 Restarts=80 Time=1397.80s
Iteration 46000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=97532436.5532 BestScore=39257752.2021 Temp=3516172.83 NoImprove=487 Restarts=82 Time=1432.57s
Iteration 47000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=115205612.2639 BestScore=39257752.2021 Temp=2556067.41 NoImprove=485 Restarts=84 Time=1465.11s
Iteration 48000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=63398843.0710 BestScore=39257752.2021 Temp=2748915.83 NoImprove=483 Restarts=86 Time=1498.60s
Iteration 49000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=110049799.6149 BestScore=39257752.2021 Temp=3342601.85 NoImprove=481 Restarts=88 Time=1532.16s
Iteration 50000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=100559405.8237 BestScore=39257752.2021 Temp=2419899.81 NoImprove=479 Restarts=90 Time=1566.55s
Iteration 51000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=102579344.0353 BestScore=39257752.2021 Temp=2761240.15 NoImprove=477 Restarts=92 Time=1600.31s
Iteration 52000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=193411836.6652 BestScore=39257752.2021 Temp=3565304.93 NoImprove=475 Restarts=94 Time=1635.25s
Iteration 53000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=75341310.1257 BestScore=39257752.2021 Temp=2713498.02 NoImprove=473 Restarts=96 Time=1666.89s
Iteration 54000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=75103286.3861 BestScore=39257752.2021 Temp=2295084.49 NoImprove=471 Restarts=98 Time=1701.25s
Iteration 55000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=80561106.0610 BestScore=39257752.2021 Temp=2816410.09 NoImprove=469 Restarts=100 Time=1732.63s
Iteration 56000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=96914396.5766 BestScore=39257752.2021 Temp=2545829.12 NoImprove=467 Restarts=102 Time=1762.86s
Iteration 57000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=144169040.1676 BestScore=39257752.2021 Temp=3931788.48 NoImprove=465 Restarts=104 Time=1792.51s
Iteration 58000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=113011987.5215 BestScore=39257752.2021 Temp=2928113.24 NoImprove=463 Restarts=106 Time=1824.06s
Iteration 59000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=72618126.7484 BestScore=39257752.2021 Temp=2493106.92 NoImprove=461 Restarts=108 Time=1854.89s
Iteration 60000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=91929911.0519 BestScore=39257752.2021 Temp=3914530.75 NoImprove=459 Restarts=110 Time=1884.54s
Iteration 61000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=94848410.6686 BestScore=39257752.2021 Temp=3504086.26 NoImprove=457 Restarts=112 Time=1914.86s
Iteration 62000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=63990088.6468 BestScore=39257752.2021 Temp=3160299.21 NoImprove=455 Restarts=114 Time=1947.43s
Iteration 63000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=231165736.2391 BestScore=39257752.2021 Temp=4794298.12 NoImprove=453 Restarts=116 Time=1978.48s
Iteration 64000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=77581011.2987 BestScore=39257752.2021 Temp=2610272.50 NoImprove=451 Restarts=118 Time=2012.05s
Iteration 65000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=140296458.1868 BestScore=39257752.2021 Temp=4329787.54 NoImprove=449 Restarts=120 Time=2044.48s
Iteration 66000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=79533371.0570 BestScore=39257752.2021 Temp=2856802.38 NoImprove=447 Restarts=122 Time=2074.45s
Iteration 67000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=227624997.8435 BestScore=39257752.2021 Temp=5012653.81 NoImprove=445 Restarts=124 Time=2106.25s
Iteration 68000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=87720531.3220 BestScore=39257752.2021 Temp=2648023.11 NoImprove=443 Restarts=126 Time=2137.02s
Iteration 69000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=117397801.5492 BestScore=39257752.2021 Temp=3813413.04 NoImprove=441 Restarts=128 Time=2165.93s
Iteration 70000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=134251603.8137 BestScore=39257752.2021 Temp=2467702.60 NoImprove=439 Restarts=130 Time=2196.16s
Iteration 71000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=89216914.4107 BestScore=39257752.2021 Temp=3049933.35 NoImprove=437 Restarts=132 Time=2226.10s
Iteration 72000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=98233240.0918 BestScore=39257752.2021 Temp=4028878.38 NoImprove=435 Restarts=134 Time=2255.75s
Iteration 73000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=52834053.5652 BestScore=39257752.2021 Temp=1843892.94 NoImprove=433 Restarts=136 Time=2284.94s
Iteration 74000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=128988591.2177 BestScore=39257752.2021 Temp=3931211.23 NoImprove=431 Restarts=138 Time=2315.01s
Iteration 75000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=125773923.3621 BestScore=39257752.2021 Temp=3941329.20 NoImprove=429 Restarts=140 Time=2345.94s
Iteration 76000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=89777694.1114 BestScore=39257752.2021 Temp=3432441.34 NoImprove=427 Restarts=142 Time=2376.56s
Iteration 77000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=112927104.7097 BestScore=39257752.2021 Temp=3720640.87 NoImprove=425 Restarts=144 Time=2406.06s
Iteration 78000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=208466559.9226 BestScore=39257752.2021 Temp=5576742.70 NoImprove=423 Restarts=146 Time=2436.31s
Iteration 79000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=97892758.7347 BestScore=39257752.2021 Temp=3646965.65 NoImprove=421 Restarts=148 Time=2467.07s
Iteration 80000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=86777180.0233 BestScore=39257752.2021 Temp=4251842.96 NoImprove=419 Restarts=150 Time=2500.32s
Iteration 81000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=247117888.8584 BestScore=39257752.2021 Temp=6286232.56 NoImprove=417 Restarts=152 Time=2529.58s
Iteration 82000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=161426550.6554 BestScore=39257752.2021 Temp=4112100.57 NoImprove=415 Restarts=154 Time=2561.24s
Iteration 83000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=166745219.4440 BestScore=39257752.2021 Temp=4913868.08 NoImprove=413 Restarts=156 Time=2590.35s
Iteration 84000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=81830951.3535 BestScore=39257752.2021 Temp=3820757.46 NoImprove=411 Restarts=158 Time=2620.48s
Iteration 85000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=85778366.3823 BestScore=39257752.2021 Temp=4077548.00 NoImprove=409 Restarts=160 Time=2652.44s
Iteration 86000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=75851752.8492 BestScore=39257752.2021 Temp=5311741.46 NoImprove=407 Restarts=162 Time=2683.30s
Iteration 87000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=92865257.6847 BestScore=39257752.2021 Temp=4341629.08 NoImprove=405 Restarts=164 Time=2714.43s
Iteration 88000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=142703620.5604 BestScore=39257752.2021 Temp=4226403.43 NoImprove=403 Restarts=166 Time=2744.49s
Iteration 89000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=96242927.4215 BestScore=39257752.2021 Temp=4040636.75 NoImprove=401 Restarts=168 Time=2774.80s
Iteration 90000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=127661652.0890 BestScore=39257752.2021 Temp=3644311.13 NoImprove=399 Restarts=170 Time=2805.30s
Iteration 91000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=89157734.4754 BestScore=39257752.2021 Temp=3981482.16 NoImprove=397 Restarts=172 Time=2837.76s
Iteration 92000: BestViol=1777.1950 BestAff=3885 BestCompact=118302.20 CurScore=81706701.2404 BestScore=39257752.2021 Temp=4097792.92 NoImprove=395 Restarts=174 Time=2868.33s
