Iteration 0: BestViol=32453.0100 BestAff=1871 BestCompact=58494.80 CurScore=334879094.8030 BestScore=334879094.8030 Temp=16743954.74 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=9677.8070 BestAff=1847 BestCompact=67835.41 CurScore=107004405.4056 BestScore=107004405.4056 Temp=111413.75 NoImprove=23 Restarts=0 Time=10.67s
Iteration 2000: BestViol=6003.2910 BestAff=1843 BestCompact=67787.54 CurScore=70237197.5413 BestScore=70237197.5413 Temp=741.34 NoImprove=102 Restarts=0 Time=37.94s
Iteration 3000: BestViol=5321.2900 BestAff=1846 BestCompact=67411.37 CurScore=63433311.3690 BestScore=63433311.3690 Temp=4.93 NoImprove=46 Restarts=0 Time=43.07s
Iteration 4000: BestViol=5269.4740 BestAff=1846 BestCompact=67230.10 CurScore=176442825.4003 BestScore=62914970.1039 Temp=4625610.66 NoImprove=314 Restarts=1 Time=48.87s
Iteration 5000: BestViol=5269.4740 BestAff=1846 BestCompact=67230.10 CurScore=154688437.5582 BestScore=62914970.1039 Temp=4311784.12 NoImprove=312 Restarts=3 Time=54.70s
Iteration 6000: BestViol=5013.7300 BestAff=1849 BestCompact=59525.33 CurScore=60366325.3342 BestScore=60366325.3342 Temp=2307014.84 NoImprove=1 Restarts=5 Time=60.48s
Iteration 7000: BestViol=3067.8740 BestAff=1848 BestCompact=59869.32 CurScore=40999038.1496 BestScore=40902609.3156 Temp=15350.80 NoImprove=201 Restarts=5 Time=66.89s
Iteration 8000: BestViol=3053.1570 BestAff=1847 BestCompact=59753.40 CurScore=40749823.3950 BestScore=40749823.3950 Temp=102.14 NoImprove=383 Restarts=5 Time=72.61s
Iteration 9000: BestViol=3053.1570 BestAff=1847 BestCompact=59753.40 CurScore=122008231.8032 BestScore=40749823.3950 Temp=3232484.45 NoImprove=381 Restarts=7 Time=78.47s
Iteration 10000: BestViol=2845.1540 BestAff=1897 BestCompact=59729.67 CurScore=42937553.9247 BestScore=38944769.6712 Temp=2584040.21 NoImprove=16 Restarts=9 Time=84.66s
Iteration 11000: BestViol=1591.0310 BestAff=1887 BestCompact=59763.17 CurScore=26348573.1677 BestScore=26348573.1677 Temp=17194.12 NoImprove=19 Restarts=9 Time=91.29s
Iteration 12000: BestViol=1459.2640 BestAff=1887 BestCompact=59340.18 CurScore=25030480.1795 BestScore=25030480.1795 Temp=114.41 NoImprove=22 Restarts=9 Time=97.78s
Iteration 13000: BestViol=1427.5860 BestAff=1887 BestCompact=59342.92 CurScore=121341944.6800 BestScore=24713702.9162 Temp=1945569.20 NoImprove=496 Restarts=10 Time=104.13s
Iteration 14000: BestViol=1427.5860 BestAff=1887 BestCompact=59342.92 CurScore=114234014.6404 BestScore=24713702.9162 Temp=1662662.89 NoImprove=494 Restarts=12 Time=110.51s
Iteration 15000: BestViol=1427.5860 BestAff=1887 BestCompact=59342.92 CurScore=101812779.1408 BestScore=24713702.9162 Temp=1879223.25 NoImprove=492 Restarts=14 Time=116.77s
Iteration 16000: BestViol=1427.5860 BestAff=1887 BestCompact=59342.92 CurScore=103534551.5457 BestScore=24713702.9162 Temp=1654241.61 NoImprove=490 Restarts=16 Time=123.11s
Iteration 17000: BestViol=1427.5860 BestAff=1887 BestCompact=59342.92 CurScore=67563111.6626 BestScore=24713702.9162 Temp=1349310.53 NoImprove=488 Restarts=18 Time=129.23s
Iteration 18000: BestViol=1427.5860 BestAff=1887 BestCompact=59342.92 CurScore=100848720.1600 BestScore=24713702.9162 Temp=1548757.95 NoImprove=486 Restarts=20 Time=136.14s
Iteration 19000: BestViol=1427.5860 BestAff=1887 BestCompact=59342.92 CurScore=70761749.6930 BestScore=24713702.9162 Temp=1434352.17 NoImprove=484 Restarts=22 Time=143.17s
Iteration 20000: BestViol=1427.5860 BestAff=1887 BestCompact=59342.92 CurScore=52077842.3903 BestScore=24713702.9162 Temp=1179686.50 NoImprove=482 Restarts=24 Time=149.82s
Iteration 21000: BestViol=1427.5860 BestAff=1887 BestCompact=59342.92 CurScore=96371942.6368 BestScore=24713702.9162 Temp=1334242.28 NoImprove=480 Restarts=26 Time=156.29s
