Iteration 0: BestViol=24597.5250 BestAff=0 BestCompact=45189.07 CurScore=246020439.0661 BestScore=246020439.0661 Temp=12301021.95 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=12967.9700 BestAff=0 BestCompact=49862.17 CurScore=129729606.8247 BestScore=129729562.1731 Temp=81850.61 NoImprove=77 Restarts=0 Time=2.59s
Iteration 2000: BestViol=12967.9700 BestAff=0 BestCompact=49835.61 CurScore=140916330.1991 BestScore=129729535.6130 Temp=2824408.20 NoImprove=361 Restarts=1 Time=4.23s
Iteration 3000: BestViol=6645.5600 BestAff=0 BestCompact=44476.13 CurScore=228695696.8445 BestScore=66500076.1298 Temp=8505798.10 NoImprove=86 Restarts=3 Time=5.57s
Iteration 4000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=54436349.9560 BestScore=54436349.9560 Temp=487212.67 NoImprove=2 Restarts=4 Time=6.78s
Iteration 5000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=213108932.8063 BestScore=54436349.9560 Temp=10655446.64 NoImprove=0 Restarts=6 Time=7.98s
Iteration 6000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=229087356.0642 BestScore=54436349.9560 Temp=1493541.25 NoImprove=499 Restarts=7 Time=9.15s
Iteration 7000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=109028899.7843 BestScore=54436349.9560 Temp=1033872.04 NoImprove=497 Restarts=9 Time=10.41s
Iteration 8000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=90210075.9498 BestScore=54436349.9560 Temp=827253.18 NoImprove=495 Restarts=11 Time=11.58s
Iteration 9000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=146397791.3490 BestScore=54436349.9560 Temp=1078238.70 NoImprove=493 Restarts=13 Time=12.71s
Iteration 10000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=114411707.2421 BestScore=54436349.9560 Temp=845468.05 NoImprove=491 Restarts=15 Time=13.82s
Iteration 11000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=162189710.7145 BestScore=54436349.9560 Temp=1443958.83 NoImprove=489 Restarts=17 Time=15.05s
Iteration 12000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=190976901.0939 BestScore=54436349.9560 Temp=1423078.44 NoImprove=487 Restarts=19 Time=16.22s
Iteration 13000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=141807650.6890 BestScore=54436349.9560 Temp=1381067.90 NoImprove=485 Restarts=21 Time=17.29s
Iteration 14000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=206589586.2697 BestScore=54436349.9560 Temp=1701872.25 NoImprove=483 Restarts=23 Time=18.60s
Iteration 15000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=103212241.3373 BestScore=54436349.9560 Temp=1132262.82 NoImprove=481 Restarts=25 Time=19.95s
Iteration 16000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=101988276.8729 BestScore=54436349.9560 Temp=1167408.91 NoImprove=479 Restarts=27 Time=21.09s
Iteration 17000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=107860747.4634 BestScore=54436349.9560 Temp=1040840.85 NoImprove=477 Restarts=29 Time=22.34s
Iteration 18000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=172322950.8846 BestScore=54436349.9560 Temp=1313240.82 NoImprove=475 Restarts=31 Time=23.49s
Iteration 19000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=306345219.5818 BestScore=54436349.9560 Temp=1670610.18 NoImprove=473 Restarts=33 Time=24.66s
Iteration 20000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=157039620.7711 BestScore=54436349.9560 Temp=1218186.39 NoImprove=471 Restarts=35 Time=25.80s
Iteration 21000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=137916221.8489 BestScore=54436349.9560 Temp=896915.09 NoImprove=469 Restarts=37 Time=26.88s
Iteration 22000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=110626278.3900 BestScore=54436349.9560 Temp=1049830.89 NoImprove=467 Restarts=39 Time=28.03s
Iteration 23000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=112584053.1683 BestScore=54436349.9560 Temp=1126319.33 NoImprove=465 Restarts=41 Time=29.18s
Iteration 24000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=106425401.3134 BestScore=54436349.9560 Temp=998656.43 NoImprove=463 Restarts=43 Time=30.58s
Iteration 25000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=195009528.2808 BestScore=54436349.9560 Temp=1411642.77 NoImprove=461 Restarts=45 Time=31.83s
Iteration 26000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=175307870.9838 BestScore=54436349.9560 Temp=1717485.72 NoImprove=459 Restarts=47 Time=33.07s
Iteration 27000: BestViol=5438.5750 BestAff=0 BestCompact=50599.96 CurScore=168395462.0809 BestScore=54436349.9560 Temp=1263247.67 NoImprove=457 Restarts=49 Time=34.28s
