Iteration 0: BestViol=50160.3325 BestAff=0 BestCompact=90633.10 CurScore=501693958.1035 BestScore=501693958.1035 Temp=25084697.91 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=3492.1025 BestAff=0 BestCompact=108083.38 CurScore=35206005.3820 BestScore=35029108.3802 Temp=166912.79 NoImprove=23 Restarts=0 Time=4.42s
Iteration 2000: BestViol=1831.7650 BestAff=0 BestCompact=105998.34 CurScore=18423648.3394 BestScore=18423648.3394 Temp=1110.63 NoImprove=84 Restarts=0 Time=7.84s
Iteration 3000: BestViol=1486.2150 BestAff=0 BestCompact=105623.35 CurScore=14967773.3487 BestScore=14967773.3487 Temp=7.39 NoImprove=21 Restarts=0 Time=10.32s
Iteration 4000: BestViol=1424.2150 BestAff=0 BestCompact=105592.83 CurScore=14347742.8313 BestScore=14347742.8313 Temp=0.05 NoImprove=514 Restarts=0 Time=12.26s
Iteration 5000: BestViol=1044.3875 BestAff=0 BestCompact=106089.12 CurScore=10549964.1217 BestScore=10549964.1217 Temp=0.00 NoImprove=168 Restarts=0 Time=14.27s
Iteration 6000: BestViol=1020.7225 BestAff=0 BestCompact=106242.67 CurScore=10313467.6708 BestScore=10313467.6708 Temp=0.00 NoImprove=627 Restarts=0 Time=15.76s
Iteration 7000: BestViol=1020.7225 BestAff=0 BestCompact=106242.67 CurScore=10313467.6708 BestScore=10313467.6708 Temp=0.00 NoImprove=1627 Restarts=0 Time=17.19s
Iteration 8000: BestViol=1020.7225 BestAff=0 BestCompact=106242.67 CurScore=10313467.6708 BestScore=10313467.6708 Temp=0.00 NoImprove=2627 Restarts=0 Time=19.06s
Iteration 9000: BestViol=1020.7225 BestAff=0 BestCompact=106242.67 CurScore=10313467.6708 BestScore=10313467.6708 Temp=0.00 NoImprove=3627 Restarts=0 Time=20.56s
Iteration 10000: BestViol=1020.7225 BestAff=0 BestCompact=106242.67 CurScore=10313467.6708 BestScore=10313467.6708 Temp=0.00 NoImprove=4627 Restarts=0 Time=22.30s
Iteration 11000: BestViol=1020.7225 BestAff=0 BestCompact=106242.67 CurScore=10313467.6708 BestScore=10313467.6708 Temp=0.00 NoImprove=5627 Restarts=0 Time=23.95s
Iteration 12000: BestViol=1020.7225 BestAff=0 BestCompact=106242.67 CurScore=10313467.6708 BestScore=10313467.6708 Temp=0.00 NoImprove=6627 Restarts=0 Time=25.13s
Iteration 13000: BestViol=1020.7225 BestAff=0 BestCompact=106242.67 CurScore=10313467.6708 BestScore=10313467.6708 Temp=0.00 NoImprove=7627 Restarts=0 Time=26.81s
Iteration 14000: BestViol=1020.7225 BestAff=0 BestCompact=106242.67 CurScore=10313467.6708 BestScore=10313467.6708 Temp=0.00 NoImprove=8627 Restarts=0 Time=28.47s
Iteration 15000: BestViol=1020.7225 BestAff=0 BestCompact=106242.67 CurScore=10313467.6708 BestScore=10313467.6708 Temp=0.00 NoImprove=9627 Restarts=0 Time=30.02s
Iteration 16000: BestViol=1020.7225 BestAff=0 BestCompact=106238.68 CurScore=10313463.6834 BestScore=10313463.6834 Temp=0.00 NoImprove=47 Restarts=0 Time=31.60s
Iteration 17000: BestViol=1020.7225 BestAff=0 BestCompact=106238.68 CurScore=10313463.6834 BestScore=10313463.6834 Temp=0.00 NoImprove=1047 Restarts=0 Time=33.43s
