Iteration 0: BestViol=18895.7250 BestAff=964 BestCompact=27883.58 CurScore=194287133.5781 BestScore=194287133.5781 Temp=9714356.68 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=3314.6400 BestAff=946 BestCompact=29830.05 CurScore=38379230.0529 BestScore=38379230.0529 Temp=64639.02 NoImprove=12 Restarts=0 Time=2.14s
Iteration 2000: BestViol=2327.4620 BestAff=949 BestCompact=30946.79 CurScore=28525066.7878 BestScore=28525066.7878 Temp=430.11 NoImprove=10 Restarts=0 Time=4.39s
Iteration 3000: BestViol=2182.6450 BestAff=947 BestCompact=31030.28 CurScore=27065980.2814 BestScore=27065980.2814 Temp=2.86 NoImprove=395 Restarts=0 Time=6.57s
Iteration 4000: BestViol=2129.9920 BestAff=949 BestCompact=31210.41 CurScore=26550630.4055 BestScore=26550630.4055 Temp=0.02 NoImprove=714 Restarts=0 Time=8.61s
Iteration 5000: BestViol=2129.9920 BestAff=949 BestCompact=31210.41 CurScore=26550630.4055 BestScore=26550630.4055 Temp=0.00 NoImprove=1714 Restarts=0 Time=10.58s
Iteration 6000: BestViol=2129.9920 BestAff=949 BestCompact=31210.41 CurScore=26550630.4055 BestScore=26550630.4055 Temp=0.00 NoImprove=2714 Restarts=0 Time=12.60s
Iteration 7000: BestViol=2127.8900 BestAff=949 BestCompact=31113.95 CurScore=26529513.9514 BestScore=26529513.9514 Temp=0.00 NoImprove=941 Restarts=0 Time=14.69s
Iteration 8000: BestViol=1984.9250 BestAff=951 BestCompact=31230.70 CurScore=25110980.7002 BestScore=25110980.7002 Temp=0.00 NoImprove=362 Restarts=0 Time=16.70s
Iteration 9000: BestViol=1906.5520 BestAff=951 BestCompact=31393.75 CurScore=24327413.7486 BestScore=24327413.7486 Temp=0.00 NoImprove=67 Restarts=0 Time=18.88s
Iteration 10000: BestViol=1867.5790 BestAff=951 BestCompact=31577.76 CurScore=23937867.7585 BestScore=23937867.7585 Temp=0.00 NoImprove=651 Restarts=0 Time=21.00s
Iteration 11000: BestViol=1750.9590 BestAff=952 BestCompact=31647.08 CurScore=22777237.0776 BestScore=22777237.0776 Temp=0.00 NoImprove=144 Restarts=0 Time=23.16s
Iteration 12000: BestViol=1750.9590 BestAff=952 BestCompact=31647.08 CurScore=22777237.0776 BestScore=22777237.0776 Temp=0.00 NoImprove=1144 Restarts=0 Time=25.21s
Iteration 13000: BestViol=1748.6860 BestAff=952 BestCompact=31637.79 CurScore=22754497.7859 BestScore=22754497.7859 Temp=0.00 NoImprove=188 Restarts=0 Time=27.41s
Iteration 14000: BestViol=1726.4950 BestAff=952 BestCompact=31757.02 CurScore=22532707.0174 BestScore=22532707.0174 Temp=0.00 NoImprove=340 Restarts=0 Time=29.51s
Iteration 15000: BestViol=1721.4950 BestAff=950 BestCompact=31755.33 CurScore=22471705.3285 BestScore=22471705.3285 Temp=0.00 NoImprove=325 Restarts=0 Time=31.62s
Iteration 16000: BestViol=1693.4210 BestAff=952 BestCompact=32024.73 CurScore=22202234.7348 BestScore=22202234.7348 Temp=0.00 NoImprove=645 Restarts=0 Time=33.70s
Iteration 17000: BestViol=1539.7620 BestAff=953 BestCompact=32229.66 CurScore=20671349.6639 BestScore=20671349.6639 Temp=0.00 NoImprove=83 Restarts=0 Time=35.76s
Iteration 18000: BestViol=1522.5710 BestAff=953 BestCompact=32244.14 CurScore=20499454.1434 BestScore=20499454.1434 Temp=0.00 NoImprove=335 Restarts=0 Time=37.92s
Iteration 19000: BestViol=1522.5710 BestAff=953 BestCompact=32244.14 CurScore=20499454.1434 BestScore=20499454.1434 Temp=0.00 NoImprove=1335 Restarts=0 Time=40.05s
Iteration 20000: BestViol=1522.5710 BestAff=953 BestCompact=32244.14 CurScore=20499454.1434 BestScore=20499454.1434 Temp=0.00 NoImprove=2335 Restarts=0 Time=42.09s
Iteration 21000: BestViol=1522.5710 BestAff=953 BestCompact=32244.14 CurScore=20499454.1434 BestScore=20499454.1434 Temp=0.00 NoImprove=3335 Restarts=0 Time=44.16s
Iteration 22000: BestViol=1522.5710 BestAff=953 BestCompact=32244.14 CurScore=20499454.1434 BestScore=20499454.1434 Temp=0.00 NoImprove=4335 Restarts=0 Time=46.25s
Iteration 23000: BestViol=1522.5710 BestAff=953 BestCompact=32244.14 CurScore=20499454.1434 BestScore=20499454.1434 Temp=0.00 NoImprove=5335 Restarts=0 Time=48.39s
Iteration 24000: BestViol=1522.5710 BestAff=953 BestCompact=32244.14 CurScore=20499454.1434 BestScore=20499454.1434 Temp=0.00 NoImprove=6335 Restarts=0 Time=50.55s
Iteration 25000: BestViol=1522.5710 BestAff=953 BestCompact=32244.14 CurScore=20499454.1434 BestScore=20499454.1434 Temp=0.00 NoImprove=7335 Restarts=0 Time=52.64s
Iteration 26000: BestViol=1509.6320 BestAff=953 BestCompact=32325.39 CurScore=20370145.3933 BestScore=20370145.3933 Temp=0.00 NoImprove=174 Restarts=0 Time=54.82s
Iteration 27000: BestViol=1493.8180 BestAff=953 BestCompact=32542.66 CurScore=20212222.6618 BestScore=20212222.6618 Temp=0.00 NoImprove=610 Restarts=0 Time=56.99s
Iteration 28000: BestViol=1493.8180 BestAff=953 BestCompact=32542.66 CurScore=20212222.6618 BestScore=20212222.6618 Temp=0.00 NoImprove=1610 Restarts=0 Time=59.10s
