Iteration 0: BestViol=59880.0770 BestAff=3898 BestCompact=119348.72 CurScore=620359118.7200 BestScore=620359118.7200 Temp=31017955.94 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=6738.8810 BestAff=3862 BestCompact=128928.38 CurScore=88896708.0206 BestScore=88758738.3826 Temp=206392.50 NoImprove=18 Restarts=0 Time=33.87s
Iteration 2000: BestViol=6738.8810 BestAff=3862 BestCompact=128928.38 CurScore=552199211.8513 BestScore=88758738.3826 Temp=31078532.16 NoImprove=8 Restarts=10 Time=69.29s
Iteration 3000: BestViol=6738.8810 BestAff=3862 BestCompact=128928.38 CurScore=187638123.1946 BestScore=88758738.3826 Temp=12986832.12 NoImprove=99 Restarts=19 Time=103.82s
Iteration 4000: BestViol=6738.8810 BestAff=3862 BestCompact=128928.38 CurScore=179656468.6560 BestScore=88758738.3826 Temp=16994751.55 NoImprove=89 Restarts=29 Time=136.70s
Iteration 5000: BestViol=6738.8810 BestAff=3862 BestCompact=128928.38 CurScore=342627571.4216 BestScore=88758738.3826 Temp=22248719.68 NoImprove=79 Restarts=39 Time=168.25s
Iteration 6000: BestViol=6738.8810 BestAff=3862 BestCompact=128928.38 CurScore=379418797.3577 BestScore=88758738.3826 Temp=25411286.79 NoImprove=69 Restarts=49 Time=199.85s
Iteration 7000: BestViol=6738.8810 BestAff=3862 BestCompact=128928.38 CurScore=236394385.1820 BestScore=88758738.3826 Temp=17924737.67 NoImprove=59 Restarts=59 Time=231.91s
Iteration 8000: BestViol=6738.8810 BestAff=3862 BestCompact=128928.38 CurScore=228442937.0130 BestScore=88758738.3826 Temp=17072915.40 NoImprove=49 Restarts=69 Time=265.26s
Iteration 9000: BestViol=6738.8810 BestAff=3862 BestCompact=128928.38 CurScore=371002262.4912 BestScore=88758738.3826 Temp=21506436.95 NoImprove=39 Restarts=79 Time=299.22s
Iteration 10000: BestViol=6738.8810 BestAff=3862 BestCompact=128928.38 CurScore=256178883.0307 BestScore=88758738.3826 Temp=20825512.21 NoImprove=29 Restarts=89 Time=333.56s
