Iteration 0: BestViol=22027.9740 BestAff=0 BestCompact=27019.15 CurScore=220306759.1519 BestScore=220306759.1519 Temp=11015337.96 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=9080.8900 BestAff=0 BestCompact=30472.21 CurScore=90871820.8917 BestScore=90839372.2133 Temp=536905.19 NoImprove=11 Restarts=2 Time=1.62s
Iteration 2000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=187071274.8939 BestScore=68333955.8251 Temp=8443593.54 NoImprove=41 Restarts=3 Time=3.33s
Iteration 3000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=302139532.9800 BestScore=68333955.8251 Temp=11291619.74 NoImprove=36 Restarts=8 Time=5.08s
Iteration 4000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=215123804.3335 BestScore=68333955.8251 Temp=10439157.97 NoImprove=31 Restarts=13 Time=6.86s
Iteration 5000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=276303581.7114 BestScore=68333955.8251 Temp=13065991.67 NoImprove=26 Restarts=18 Time=8.57s
Iteration 6000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=229619700.6753 BestScore=68333955.8251 Temp=11104230.26 NoImprove=21 Restarts=23 Time=10.35s
Iteration 7000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=189986895.2359 BestScore=68333955.8251 Temp=10583106.43 NoImprove=16 Restarts=28 Time=12.09s
Iteration 8000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=182708492.4747 BestScore=68333955.8251 Temp=10352237.03 NoImprove=11 Restarts=33 Time=13.88s
Iteration 9000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=226980647.7350 BestScore=68333955.8251 Temp=11814086.23 NoImprove=6 Restarts=38 Time=15.62s
Iteration 10000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=287912991.0828 BestScore=68333955.8251 Temp=14312801.38 NoImprove=1 Restarts=43 Time=17.35s
Iteration 11000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=121906407.0817 BestScore=68333955.8251 Temp=3512857.06 NoImprove=197 Restarts=47 Time=19.02s
Iteration 12000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=118068738.7480 BestScore=68333955.8251 Temp=4132779.27 NoImprove=192 Restarts=52 Time=20.68s
Iteration 13000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=149918111.2186 BestScore=68333955.8251 Temp=5005221.70 NoImprove=187 Restarts=57 Time=22.28s
Iteration 14000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=156468138.0399 BestScore=68333955.8251 Temp=4632935.41 NoImprove=182 Restarts=62 Time=24.06s
Iteration 15000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=141079648.3596 BestScore=68333955.8251 Temp=4949077.89 NoImprove=177 Restarts=67 Time=25.83s
Iteration 16000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=225066782.8646 BestScore=68333955.8251 Temp=5522200.63 NoImprove=172 Restarts=72 Time=27.59s
Iteration 17000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=203481236.2980 BestScore=68333955.8251 Temp=5801447.68 NoImprove=167 Restarts=77 Time=29.34s
Iteration 18000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=162640441.4218 BestScore=68333955.8251 Temp=4580077.05 NoImprove=162 Restarts=82 Time=31.07s
Iteration 19000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=163627773.3958 BestScore=68333955.8251 Temp=6390032.38 NoImprove=157 Restarts=87 Time=32.85s
Iteration 20000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=122208249.4173 BestScore=68333955.8251 Temp=4625778.15 NoImprove=152 Restarts=92 Time=34.46s
Iteration 21000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=193350466.7759 BestScore=68333955.8251 Temp=5388504.81 NoImprove=147 Restarts=97 Time=36.07s
Iteration 22000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=174359512.3633 BestScore=68333955.8251 Temp=5561790.14 NoImprove=142 Restarts=102 Time=37.75s
Iteration 23000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=184198988.4976 BestScore=68333955.8251 Temp=5859002.00 NoImprove=137 Restarts=107 Time=39.48s
Iteration 24000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=200290846.1347 BestScore=68333955.8251 Temp=6817137.70 NoImprove=132 Restarts=112 Time=41.23s
Iteration 25000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=185941635.5140 BestScore=68333955.8251 Temp=7244791.98 NoImprove=127 Restarts=117 Time=42.98s
Iteration 26000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=206000176.7967 BestScore=68333955.8251 Temp=7857733.10 NoImprove=122 Restarts=122 Time=44.69s
Iteration 27000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=191249569.9557 BestScore=68333955.8251 Temp=6239318.33 NoImprove=117 Restarts=127 Time=46.36s
Iteration 28000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=186612909.7691 BestScore=68333955.8251 Temp=6857437.81 NoImprove=112 Restarts=132 Time=48.04s
Iteration 29000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=208430636.2630 BestScore=68333955.8251 Temp=6971939.06 NoImprove=107 Restarts=137 Time=49.94s
Iteration 30000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=157557507.2454 BestScore=68333955.8251 Temp=5793517.04 NoImprove=102 Restarts=142 Time=51.66s
Iteration 31000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=210677444.7491 BestScore=68333955.8251 Temp=7749813.44 NoImprove=97 Restarts=147 Time=53.34s
Iteration 32000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=223552626.1040 BestScore=68333955.8251 Temp=7934305.76 NoImprove=92 Restarts=152 Time=55.00s
Iteration 33000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=196301702.4847 BestScore=68333955.8251 Temp=8108161.11 NoImprove=87 Restarts=157 Time=56.70s
Iteration 34000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=255886507.2592 BestScore=68333955.8251 Temp=10352570.55 NoImprove=82 Restarts=162 Time=58.36s
Iteration 35000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=196133066.7706 BestScore=68333955.8251 Temp=7637115.87 NoImprove=77 Restarts=167 Time=60.08s
Iteration 36000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=207130269.2588 BestScore=68333955.8251 Temp=8305946.57 NoImprove=72 Restarts=172 Time=61.84s
Iteration 37000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=267493445.8765 BestScore=68333955.8251 Temp=10183932.16 NoImprove=67 Restarts=177 Time=63.66s
Iteration 38000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=213599160.9269 BestScore=68333955.8251 Temp=9822151.12 NoImprove=62 Restarts=182 Time=65.43s
Iteration 39000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=277373609.6404 BestScore=68333955.8251 Temp=9901930.18 NoImprove=57 Restarts=187 Time=67.17s
Iteration 40000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=176743397.7474 BestScore=68333955.8251 Temp=8325805.82 NoImprove=52 Restarts=192 Time=68.84s
Iteration 41000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=257105162.8485 BestScore=68333955.8251 Temp=11718288.45 NoImprove=47 Restarts=197 Time=70.52s
Iteration 42000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=259555341.0805 BestScore=68333955.8251 Temp=11282437.98 NoImprove=42 Restarts=202 Time=72.27s
Iteration 43000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=210554968.6168 BestScore=68333955.8251 Temp=10744990.97 NoImprove=37 Restarts=207 Time=73.99s
Iteration 44000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=241584140.6280 BestScore=68333955.8251 Temp=11434507.29 NoImprove=32 Restarts=212 Time=75.71s
Iteration 45000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=229300032.6129 BestScore=68333955.8251 Temp=11739879.28 NoImprove=27 Restarts=217 Time=77.39s
Iteration 46000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=260934894.1497 BestScore=68333955.8251 Temp=12344408.73 NoImprove=22 Restarts=222 Time=79.01s
Iteration 47000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=206519637.9651 BestScore=68333955.8251 Temp=9736729.66 NoImprove=17 Restarts=227 Time=80.67s
Iteration 48000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=238595881.1034 BestScore=68333955.8251 Temp=11788642.29 NoImprove=12 Restarts=232 Time=82.38s
Iteration 49000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=245920521.3293 BestScore=68333955.8251 Temp=12526703.41 NoImprove=7 Restarts=237 Time=84.12s
Iteration 50000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=258676859.8998 BestScore=68333955.8251 Temp=13035294.08 NoImprove=2 Restarts=242 Time=85.80s
Iteration 51000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=180462264.8107 BestScore=68333955.8251 Temp=5123478.42 NoImprove=198 Restarts=246 Time=87.41s
Iteration 52000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=189670111.6235 BestScore=68333955.8251 Temp=4937781.28 NoImprove=193 Restarts=251 Time=89.00s
Iteration 53000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=216502816.4051 BestScore=68333955.8251 Temp=5516363.05 NoImprove=188 Restarts=256 Time=90.73s
Iteration 54000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=174710867.9228 BestScore=68333955.8251 Temp=5475525.69 NoImprove=183 Restarts=261 Time=92.45s
Iteration 55000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=197448506.7546 BestScore=68333955.8251 Temp=6138496.97 NoImprove=178 Restarts=266 Time=94.12s
Iteration 56000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=96728260.0289 BestScore=68333955.8251 Temp=4048562.46 NoImprove=173 Restarts=271 Time=95.85s
Iteration 57000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=128445398.1955 BestScore=68333955.8251 Temp=4756442.75 NoImprove=168 Restarts=276 Time=97.55s
Iteration 58000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=117837218.2927 BestScore=68333955.8251 Temp=5085497.15 NoImprove=163 Restarts=281 Time=99.28s
Iteration 59000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=179342664.2190 BestScore=68333955.8251 Temp=5506067.64 NoImprove=158 Restarts=286 Time=100.98s
Iteration 60000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=158434895.2349 BestScore=68333955.8251 Temp=5244279.05 NoImprove=153 Restarts=291 Time=102.69s
Iteration 61000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=200969973.3665 BestScore=68333955.8251 Temp=5952016.56 NoImprove=148 Restarts=296 Time=104.40s
Iteration 62000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=175447172.0481 BestScore=68333955.8251 Temp=5403907.31 NoImprove=143 Restarts=301 Time=106.18s
Iteration 63000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=204869020.2738 BestScore=68333955.8251 Temp=5845062.25 NoImprove=138 Restarts=306 Time=107.83s
Iteration 64000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=168455208.9871 BestScore=68333955.8251 Temp=5787937.86 NoImprove=133 Restarts=311 Time=109.42s
Iteration 65000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=189204909.1207 BestScore=68333955.8251 Temp=7053056.27 NoImprove=128 Restarts=316 Time=111.20s
Iteration 66000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=180760368.1285 BestScore=68333955.8251 Temp=7495711.31 NoImprove=123 Restarts=321 Time=112.88s
Iteration 67000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=109788667.7218 BestScore=68333955.8251 Temp=4978257.78 NoImprove=118 Restarts=326 Time=114.62s
Iteration 68000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=198963003.7893 BestScore=68333955.8251 Temp=6881178.23 NoImprove=113 Restarts=331 Time=116.32s
Iteration 69000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=217862130.3869 BestScore=68333955.8251 Temp=7837612.74 NoImprove=108 Restarts=336 Time=117.96s
Iteration 70000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=172762825.6975 BestScore=68333955.8251 Temp=6655427.75 NoImprove=103 Restarts=341 Time=119.61s
Iteration 71000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=235267778.2506 BestScore=68333955.8251 Temp=8733039.90 NoImprove=98 Restarts=346 Time=121.40s
Iteration 72000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=198810879.6108 BestScore=68333955.8251 Temp=7915724.27 NoImprove=93 Restarts=351 Time=123.00s
Iteration 73000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=216881190.4592 BestScore=68333955.8251 Temp=8662209.43 NoImprove=88 Restarts=356 Time=124.78s
Iteration 74000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=158243692.6524 BestScore=68333955.8251 Temp=7690126.43 NoImprove=83 Restarts=361 Time=126.52s
Iteration 75000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=265776703.1306 BestScore=68333955.8251 Temp=9527084.11 NoImprove=78 Restarts=366 Time=128.29s
Iteration 76000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=194280167.7428 BestScore=68333955.8251 Temp=8028999.94 NoImprove=73 Restarts=371 Time=130.01s
Iteration 77000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=213117259.0079 BestScore=68333955.8251 Temp=8573678.02 NoImprove=68 Restarts=376 Time=131.69s
Iteration 78000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=161711217.2855 BestScore=68333955.8251 Temp=8966690.93 NoImprove=63 Restarts=381 Time=133.61s
Iteration 79000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=248043104.3606 BestScore=68333955.8251 Temp=11121829.45 NoImprove=58 Restarts=386 Time=135.38s
Iteration 80000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=294292324.9061 BestScore=68333955.8251 Temp=12322036.58 NoImprove=53 Restarts=391 Time=137.13s
Iteration 81000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=225089516.9814 BestScore=68333955.8251 Temp=9447605.25 NoImprove=48 Restarts=396 Time=138.86s
Iteration 82000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=244788680.5937 BestScore=68333955.8251 Temp=11020566.52 NoImprove=43 Restarts=401 Time=140.52s
Iteration 83000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=194617364.0962 BestScore=68333955.8251 Temp=9121825.56 NoImprove=38 Restarts=406 Time=142.22s
Iteration 84000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=166802470.8702 BestScore=68333955.8251 Temp=8835734.87 NoImprove=33 Restarts=411 Time=143.97s
Iteration 85000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=190247589.6020 BestScore=68333955.8251 Temp=9037900.24 NoImprove=28 Restarts=416 Time=145.91s
Iteration 86000: BestViol=6830.1900 BestAff=0 BestCompact=32055.83 CurScore=181675592.6148 BestScore=68333955.8251 Temp=9078945.81 NoImprove=23 Restarts=421 Time=147.62s
